userId,songId,Q1,Q2,Q3,Extraversion,sociability,assertiveness,energy_level,Agreeableness,compassion,respectfulness,trust,Conscientiousness,organization,productiveness,responsibility,Neuroticism,anxiety,depression,emotional_volatility,Openness,intellectual_curiosity,aesthetic_sensitivity,creative_imagination,rms,lowenergy,eventdensity,pulseclarity,attacktime_mean,attacktime_std,attacktime_slope,attacktime_periodentropy,attackslope_mean,attackslope_std,attackslope_slope,attackslope_periodentropy,zerocross,brightness,centroid,spread,skewness,kurtosis,flatness,mirentropy,inharmonicity,activity,valence,tension,happy,sad,tender,anger,fear
313,30951,2,1,1,2.75,2.5,3.25,2.5,4.25,4.25,4.75,3.75,3.166666667,3.5,3.25,2.75,2.333333333,2.25,2.25,2.5,3.083333333,3.5,2.25,3.5,0.220446983,0.503793627,1.717667436,0.609115241,0.057748815,0.021386688,0.053811473,0.967623121,1096333.381,923119.6578,-0.124163405,0.969834258,2388.406407,0.706560861,4788.990416,0.422859456,2.37328E+12,8.47511E+16,0.369676221,0.921490583,0.459217064,11.97196582,9.240688765,4.974047125,5.042411448,2.402048272,0.2491173,6.44563803,1.236303633
57,25457,4,4,3,2.416666667,2,2.75,2.5,3.583333333,4,4.5,2.25,2.416666667,2,2,3.25,2.166666667,1.75,3.5,1.25,3.166666667,4,2.25,3.25,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
66,25457,4,5,3,3.333333333,3.75,4.5,1.75,2.333333333,2,2.5,2.5,2.833333333,2.25,3,3.25,3.166666667,3.25,3.5,2.75,4.75,4.75,5,4.5,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
73,25457,3,3,3,3,2,3.75,3.25,3.25,3.75,3.5,2.5,4.083333333,4.5,3.75,4,3.75,4,3.75,3.5,4.416666667,4,4.25,5,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
266,25457,4,4,4,2.833333333,3,4.5,1,2.166666667,2.25,2.75,1.5,2.5,2,2.5,3,2.5,3,2.75,1.75,4.333333333,4.25,4.75,4,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
274,25457,4,4,4,3,2.75,3,3.25,4,3.75,4.5,3.75,3.833333333,3.75,4,3.75,3.666666667,3.25,4.25,3.5,4.75,4.25,5,5,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
278,25457,4,4,3,2.5,2,2.5,3,3.666666667,4.25,3.5,3.25,2.333333333,2,2.25,2.75,4.583333333,5,4.25,4.5,4.5,4.75,4.5,4.25,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
289,25457,4,4,4,3.25,3.5,3,3.25,2.75,3,2.75,2.5,3.25,3.5,3.25,3,3.333333333,3.25,3.75,3,4.583333333,4.5,5,4.25,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
296,25457,3,3,3,3.416666667,3,3.5,3.75,4.416666667,5,4.25,4,4.833333333,5,4.5,5,1.333333333,1.75,1,1.25,3.833333333,4.25,2.5,4.75,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
307,25457,1,1,1,3.666666667,3.75,3.75,3.5,3.25,3.5,3.25,3,3.5,3,3.5,4,3.083333333,3.75,2.5,3,3.416666667,4.25,1.5,4.5,0.049127743,0.545859305,5.261935858,0.509159082,0.065497076,0.019009711,-0.029391725,0.959916592,197749.0693,190882.4146,0.186064229,0.961640565,1010.268207,0.274898489,1444.828396,0.58164561,56481784203,1.0647E+15,0.02367951,0.817158264,0.488103151,6.364900486,6.711396951,8.298122256,2.339614601,1.152817357,1.890388667,1.803003159,2.650476797
116,27376,4,3,3,2.833333333,2.25,3,3.25,3,3.5,3,2.5,3.083333333,2,3.75,3.5,3.5,4.25,3.25,3,3.416666667,3.5,3,3.75,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
138,27376,3,3,3,3.416666667,3.25,4,3,2,1.75,2,2.25,2.5,2.25,2.25,3,2.916666667,3.5,2.25,3,2.666666667,3,1.75,3.25,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
173,27376,1,2,3,2,1.5,3.25,1.25,3.666666667,3.5,4.75,2.75,2.166666667,1.25,2.5,2.75,4.416666667,4.5,4,4.75,2.333333333,3.5,1,2.5,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
244,27376,4,5,5,2.166666667,2,1.75,2.75,3.083333333,3.25,3,3,2.416666667,2.5,2,2.75,4,3.75,4.25,4,3.5,2.75,4.25,3.5,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
258,27376,3,2,2,2.166666667,1.5,2.75,2.25,2.25,3,2.25,1.5,2.166666667,2.25,1.5,2.75,5,5,5,5,3.666666667,3.5,4,3.5,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
279,27376,5,5,3,3.416666667,3.5,3.5,3.25,3.166666667,3.5,3.25,2.75,3.333333333,3.5,3,3.5,3.333333333,3.25,3.25,3.5,4.666666667,4,5,5,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
294,27376,4,3,3,3.166666667,3.5,2.75,3.25,4.166666667,4,5,3.5,3.583333333,3,4.25,3.5,2.416666667,2.25,3,2,4,3.75,3.75,4.5,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
312,27376,2,1,1,2.75,2.75,3,2.5,3.833333333,4,5,2.5,3,2.25,3.5,3.25,3.5,4,3.75,2.75,2.333333333,3,1,3,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
317,27376,1,1,1,3.5,3,3.75,3.75,3.583333333,3.75,4,3,3.916666667,3.75,3.75,4.25,2.083333333,2.5,1.75,2,4,4.25,3.75,4,0.050827401,0.602816901,2.993569132,0.083865193,0.074514925,0.029466984,0.122649213,0.96325013,265311.0369,290138.1396,-0.045219158,0.962190902,1193.844249,0.488025379,2544.569876,0.863679719,1.39746E+11,2.4313E+15,0.161442287,0.883052483,0.488668321,7.666075314,7.186632963,8.469197266,3.693476539,0.326195199,1.028614476,2.071304148,2.54057052
15,21970,4,4,5,3.75,3.25,4,4,2.916666667,3.5,2.75,2.5,3.5,4,3.25,3.25,3.166666667,3,3,3.5,4.5,4.75,4.25,4.5,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
126,21970,2,1,1,3.083333333,3.25,3,3,3.25,3.75,3.75,2.25,3.416666667,4,3.25,3,3.166666667,2.5,3.75,3.25,3.833333333,4,4,3.5,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
212,21970,1,1,1,3.333333333,3.5,3.25,3.25,3.25,3.5,4,2.25,4,4,3.5,4.5,1.916666667,1.5,3,1.25,3.25,3,3.25,3.5,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
233,21970,1,1,1,2.416666667,2.25,2.75,2.25,2.583333333,2.75,3,2,2.916666667,4,2.75,2,3.583333333,3.75,3.25,3.75,3.333333333,3.75,2.25,4,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
234,21970,3,2,1,1.75,2.25,1.75,1.25,3.083333333,3.25,3.75,2.25,3.166666667,3,3,3.5,4.75,4.75,5,4.5,2.583333333,3,2.75,2,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
254,21970,4,4,4,3.583333333,2.75,4.25,3.75,3.5,3.5,4,3,2.916666667,2.5,2.25,4,2.5,2.25,3.5,1.75,4.75,4.75,5,4.5,0.210956209,0.593259733,0.487539088,0.331738797,0.080941176,0.035824052,-0.07788751,0.966617536,2610982.05,2660430.954,0.018944087,0.962520874,1250.268681,0.532146905,2773.01399,0.46158204,8.53171E+11,2.55517E+16,0.190785303,0.887146445,0.458381083,11.56227131,7.045700917,8.261622405,4.674309722,1.230937584,0.618062537,3.245497508,2.974797937
133,22675,5,4,4,3.333333333,3.25,3.25,3.5,4.583333333,5,4.5,4.25,3.083333333,2.25,3.25,3.75,3.25,4.25,2.75,2.75,3.583333333,3.25,4,3.5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
186,22675,2,3,2,2.916666667,3.5,2.5,2.75,3.416666667,3,4,3.25,2.75,2.75,2.75,2.75,4.083333333,4.5,4.5,3.25,4.916666667,5,4.75,5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
195,22675,3,3,2,3,3.25,2.5,3.25,3.666666667,3.5,4.5,3,3.333333333,3.5,3.25,3.25,3.416666667,3.75,3.5,3,3.916666667,3.75,4.75,3.25,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
229,22675,3,3,3,3.75,3.5,3.5,4.25,4.166666667,4.75,4.5,3.25,4.5,4,5,4.5,3.666666667,4.25,3,3.75,4,3.75,4,4.25,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
230,22675,1,1,1,3.333333333,3.5,3.5,3,4.166666667,5,4.75,2.75,4.416666667,5,4.5,3.75,2.833333333,3.5,3,2,4.083333333,4,5,3.25,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
254,22675,1,1,1,3.583333333,2.75,4.25,3.75,3.5,3.5,4,3,2.916666667,2.5,2.25,4,2.5,2.25,3.5,1.75,4.75,4.75,5,4.5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
262,22675,1,1,1,2.833333333,2.5,3,3,3.416666667,3.5,4,2.75,2.916666667,3.25,2.25,3.25,3.25,3.25,3,3.5,3.916666667,4,4.25,3.5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
276,22675,5,4,4,2.833333333,2.5,2.75,3.25,4,4.25,4.5,3.25,3.916666667,4,3.75,4,3.583333333,3,3.25,4.5,4.333333333,3.75,4.75,4.5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
280,22675,4,3,2,2.416666667,2,1.75,3.5,3.5,3.5,4.5,2.5,4.333333333,3.75,4.75,4.5,3.166666667,3.5,3.5,2.5,4.333333333,4.75,3.75,4.5,0.168073089,0.536501715,5.051950128,0.807877601,0.06502907,0.020898178,-0.035115643,0.967888484,3205115.076,2003488.81,-0.070265418,0.962878689,1759.058089,0.665826479,4661.799897,0.466969246,1.84583E+12,6.13666E+16,0.397098547,0.929852979,0.474146637,14.85256496,10.48175484,4.153741136,8.95907552,1.37162219,0.392482319,3.262592074,1.960412247
87,30000,4,3,3,3,2.25,2.25,4.5,4.666666667,5,4.5,4.5,4.083333333,3,4.5,4.75,2.333333333,3.75,1.25,2,3.583333333,3,4,3.75,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
146,30000,5,5,5,4.5,4.75,4.75,4,3.083333333,2.75,3.5,3,4.416666667,4.25,4.5,4.5,1.416666667,1.75,1,1.5,3.583333333,4.5,2.75,3.5,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
151,30000,4,4,4,3.666666667,3.5,3.25,4.25,3.833333333,4.25,4.25,3,3.5,3.5,3.75,3.25,2.833333333,3.25,2.5,2.75,3.833333333,3.75,4,3.75,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
247,30000,2,2,1,2.666666667,1.75,3.5,2.75,3.75,4.25,4.5,2.5,2.583333333,3.25,2,2.5,4.666666667,5,4.25,4.75,4.25,4.25,5,3.5,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
256,30000,5,5,5,3.416666667,2.75,3.5,4,3.666666667,3.5,4.25,3.25,3.416666667,3.75,3.5,3,3.5,3.75,3,3.75,4.916666667,5,4.75,5,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
277,30000,1,1,1,2.916666667,2.5,4,2.25,3.166666667,3,4.25,2.25,2.5,3,1.5,3,3.166666667,3.5,3.75,2.25,4.166666667,4,3.75,4.75,0.275661003,0.440636475,2.347774007,0.427525194,0.05805395,0.022632471,-0.061842905,0.969154035,3565818.766,2562751.123,-0.06516366,0.967760262,3313.434811,0.718815693,6225.430785,0.312886357,4.40766E+12,2.70103E+17,0.560840853,0.957709566,0.495043199,15.52683502,6.954859951,7.711387527,4.346083355,1.043490871,-10.57893229,16.27837033,3.917457208
